model,r2_flattened,r2_variance_weighted,r2_uniform_average,rmse_bps_all,mae_bps_all
Base CIR,-0.21727057345089373,-0.5329207810545842,-5.690342975037817,62.15208588559791,43.78599178584457
CIR++ Walk-Forward Residual,0.9954717832946433,0.9942975722570198,0.9785129891532907,3.790755276413963,2.662425886472993
